TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,power,dayofweek,isholiday,Temperature,RH,WS,feel_temp,pre_day_1,pre_day_7,pre_day_1_7_2,pre_day_1_7_3,pre_day_1_7_H,pre_similarity,next_similarity
2022-02-15 05:00:00,2022,2,2022-02-15 00:00:00,2,15,5,495.9900000000005,1,0,14.8,89,0.4,15.866371912178113,475.5400000000001,282.6500000000001,475.5400000000001,475.5400000000001,475.5400000000001,271.5199999999995,670.1600000000002
2022-02-15 06:00:00,2022,2,2022-02-15 00:00:00,2,15,6,608.2099999999991,1,0,14.9,89,0.3,16.05768049233032,670.1600000000002,679.7600000000008,670.1600000000002,670.1600000000002,670.1600000000002,475.5400000000001,557.1500000000004
2022-02-15 07:00:00,2022,2,2022-02-15 00:00:00,2,15,7,569.1200000000006,1,0,14.9,92,0.2,16.224130396566174,557.1500000000004,739.8299999999997,557.1500000000004,557.1500000000004,557.1500000000004,670.1600000000002,864.1499999999999
2022-02-15 08:00:00,2022,2,2022-02-15 00:00:00,2,15,8,646.73,1,0,16,80,0.5,16.997832746939032,864.1499999999999,197.61000000000007,864.1499999999999,864.1499999999999,864.1499999999999,557.1500000000004,498.9399999999994
2022-02-15 09:00:00,2022,2,2022-02-15 00:00:00,2,15,9,763.7499999999999,1,0,16.8,76,0.3,17.982584378056185,498.9399999999994,777.8700000000001,498.9399999999994,498.9399999999994,498.9399999999994,864.1499999999999,826.3800000000001
2022-02-15 10:00:00,2022,2,2022-02-15 00:00:00,2,15,10,981.4799999999997,1,0,18.1,66,1.2,18.622057352759473,826.3800000000001,563.6900000000003,826.3800000000001,826.3800000000001,826.3800000000001,498.9399999999994,1032.05
2022-02-15 11:00:00,2022,2,2022-02-15 00:00:00,2,15,11,702.9600000000003,1,0,19.4,64,1.7,19.82936066914379,1032.05,988.6800000000003,1032.05,1032.05,1032.05,826.3800000000001,1162.71
2022-02-15 12:00:00,2022,2,2022-02-15 00:00:00,2,15,12,1296.7499999999998,1,0,20.3,59,1.8,20.654527759654098,1162.71,631.4299999999997,1162.71,1162.71,1162.71,1032.05,731.1299999999997
2022-02-15 13:00:00,2022,2,2022-02-15 00:00:00,2,15,13,893.0800000000006,1,0,21.6,56,2,21.99393904357655,731.1299999999997,849.9199999999993,731.1299999999997,731.1299999999997,731.1299999999997,1162.71,631.7500000000008
2022-02-15 14:00:00,2022,2,2022-02-15 00:00:00,2,15,14,1212.3699999999994,1,0,21.1,61,2.1,21.556690870454663,631.7500000000008,968.53,631.7500000000008,631.7500000000008,631.7500000000008,731.1299999999997,1245.4500000000005
2022-02-15 15:00:00,2022,2,2022-02-15 00:00:00,2,15,15,616.2799999999995,1,0,20,66,2.8,19.95859385028652,1245.4500000000005,1266.3000000000004,1245.4500000000005,1245.4500000000005,1245.4500000000005,631.7500000000008,680.5199999999998
2022-02-15 19:00:00,2022,2,2022-02-15 00:00:00,2,15,19,677.1199999999999,1,0,16,81,2.7,15.604118156275767,485.4399999999994,774.94,485.4399999999994,485.4399999999994,485.4399999999994,1278.7999999999995,392.96
2022-02-15 20:00:00,2022,2,2022-02-15 00:00:00,2,15,20,1245.32,1,0,16.3,81,2,16.43682848900635,392.96,844.8700000000001,392.96,392.96,392.96,485.4399999999994,475.65999999999985
2022-02-15 21:00:00,2022,2,2022-02-15 00:00:00,2,15,21,895.4800000000004,1,0,16.5,81,1.2,17.209165947267632,475.65999999999985,487.28000000000014,475.65999999999985,475.65999999999985,475.65999999999985,392.96,847.000000000001
2022-02-15 22:00:00,2022,2,2022-02-15 00:00:00,2,15,22,391.4599999999997,1,0,16.3,82,2.1,16.408814025907663,847.000000000001,567.8599999999998,847.000000000001,847.000000000001,847.000000000001,475.65999999999985,643.2599999999992
