TIME_TO_INTERVAL,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),WeatherType(CWB),WeatherType(pred)(CWB),WeatherType(IBM),WeatherType(pred)(IBM),WeatherType(OWM),WeatherType(pred)(OWM),ApparentTemperature(pred)[CWB],Temperature(pred)[CWB],RelativeHumidity(pred)[CWB],FeelsLikeTemperature(pred)[IBM],Temperature(pred)[IBM],RelativeHumidity(pred)[IBM],FeelsLikeTemperature(pred)[OWM],Temperature(pred)[OWM],RelativeHumidity(pred)[OWM]
2021-05-04 14:00:00,5.583338016296693,0.7527777777777778,0.7567737309999999,0.2054948119177376,0.2054948119177376,0.2054948119177376,0.6980700000000001,多雲,多雲,多雲,多雲,晴,晴,32,29,68,33,30,60,27.950000000000053,26.840000000000032,61
2021-05-04 15:00:00,4.465022222222199,0.5499999999999999,0.570963861,0.17502766961027388,0.6241599999999999,0.17502766961027388,0.6241599999999999,多雲,多雲,多雲時晴,多雲時晴,晴,晴,32,29,72,33,30,59,25.800000000000008,25.5,65
2021-05-04 16:00:00,2.1631555555555533,0.2388888888888889,0.349172163,0.07789156563701399,0.40652,0.07789156563701399,0.40652,多雲,多雲,多雲時晴,多雲時晴,晴,晴,32,29,72,33,30,62,25.800000000000008,25.5,65
2021-05-04 17:00:00,0.7267555555555657,0.08888888888888889,0.122449426,0.027975805140020942,0.17246,0.027975805140020942,0.17246,多雲,多雲,多雲時晴,多雲時晴,晴,晴,32,29,72,33,29,67,25.800000000000008,25.5,65
2021-05-05 06:00:00,0.591258682967496,0.08055555555555555,0.143795227,0.004059999999999999,0.004059999999999999,0.07204450175929666,0.004059999999999999,陰,陰,多雲時晴,多雲時晴,晴,晴,28,25,81,24,24,87,24.5,24.170000000000016,71
2021-05-05 07:00:00,0.8936054994388475,0.1,0.372518792,0.01217,0.01217,0.15632071789466526,0.01217,陰,陰,多雲時晴,多雲時晴,晴,晴,28,25,81,27,25,86,24.5,24.170000000000016,71
2021-05-05 08:00:00,1.2421194444444421,0.13055555555555556,0.591442963,0.10543,0.10543,0.27544802565339555,0.10543,陰,陰,多雲時晴,多雲時晴,晴,晴,28,25,81,32,28,71,24.5,24.170000000000016,71
2021-05-05 09:00:00,2.9329833333333317,0.3333333333333333,0.7724358790000001,0.4751995482790804,0.08921,0.4751995482790804,0.08921,多雲,多雲,零星雷雨,零星雷雨,晴,晴,30,28,70,29,26,78,25.920000000000016,25.580000000000037,66
2021-05-05 10:00:00,5.662344444444464,0.4861111111111111,0.900043643,0.4207444687193707,0.04461,0.4207444687193707,0.04461,多雲,多雲,零星雷雨,零星雷雨,晴,晴,30,28,70,34,30,66,25.920000000000016,25.580000000000037,66
2021-05-05 11:00:00,3.621264432554212,0.4111111111111111,0.964499385,0.33036430186422344,0.07299,0.33036430186422344,0.07299,多雲,多雲,零星雷雨,零星雷雨,晴,晴,30,28,70,33,29,73,25.920000000000016,25.580000000000037,66
2021-05-05 12:00:00,5.843166479190095,0.43333333333333335,0.961054506,0.4357980045307081,1.0097200000000002,0.4357980045307081,1.0097200000000002,多雲,多雲,零星雷雨,零星雷雨,晴,晴,27,26,69,34,30,67,31.69,29.379999999999995,60
2021-05-05 13:00:00,7.033889666760036,0.8666666666666667,0.889975567,0.3816792806063433,0.61638,0.3816792806063433,0.61638,多雲,多雲,零星雷雨,零星雷雨,晴,晴,27,26,69,34,29,72,31.69,29.379999999999995,60
2021-05-05 14:00:00,5.5379083333333385,0.7055555555555556,0.756540663,0.47898873246101903,0.80291,0.47898873246101903,0.80291,多雲,多雲,零星雷雨,零星雷雨,晴,晴,27,26,69,33,29,68,31.69,29.379999999999995,60
2021-05-05 15:00:00,4.654605555555548,0.5694444444444444,0.571051971,0.6204299999999999,0.6204299999999999,0.3625697772143969,0.6204299999999999,晴,晴,局部多雲,局部多雲,晴,晴,28,26,77,34,29,69,30.900000000000034,28.830000000000037,61
2021-05-05 16:00:00,2.6754333333333347,0.2416666666666667,0.34968450100000004,0.38929,0.38929,0.15862263219339676,0.38929,晴,晴,局部多雲,局部多雲,晴,晴,28,26,77,33,29,68,30.900000000000034,28.830000000000037,61
2021-05-05 17:00:00,0.7371395749569154,0.09444444444444444,0.123320905,0.17843,0.17843,0.0588482130989869,0.17843,晴,晴,局部多雲,局部多雲,晴,晴,28,26,77,30,27,71,30.900000000000034,28.830000000000037,61
2021-05-06 06:00:00,1.2113470191226092,0.10833333333333334,0.145226408,0.16674,0.16674,0.0756268087421345,0.16674,晴,晴,局部多雲,局部多雲,晴,晴,25,22,85,22,22,88,22.02000000000004,21.590000000000032,85
2021-05-06 07:00:00,3.174372222222233,0.2333333333333333,0.373597811,0.4066900000000001,0.4066900000000001,0.13794555733337874,0.40669,晴,晴,局部多雲,局部多雲,晴,晴,25,22,85,24,22,87,22.02000000000004,21.590000000000032,85
2021-05-06 08:00:00,4.8618833333333535,0.5777777777777778,0.592027475,0.6263099999999999,0.6263099999999999,0.22737502423960576,0.6263099999999999,晴,晴,局部多雲,局部多雲,晴,晴,25,22,85,28,26,75,22.02000000000004,21.590000000000032,85
2021-05-06 09:00:00,6.396394444444463,0.6972222222222222,0.772580382,0.4279908611337125,0.80525,0.4279908611337125,0.80525,多雲,多雲,局部多雲,局部多雲,晴,晴,27,25,67,25,24,83,25.61000000000001,25.160000000000025,72
2021-05-06 10:00:00,7.270863288989513,0.8555555555555555,0.8998458890000001,0.4424361178538189,0.9353899999999999,0.4424361178538189,0.9353899999999999,多雲,多雲,局部多雲,局部多雲,晴,晴,27,25,67,31,28,70,25.61000000000001,25.160000000000025,72
2021-05-06 11:00:00,7.805316420407008,0.7055555555555556,0.964081354,0.35712505355079266,1.0004600000000001,0.35712505355079266,1.0004600000000001,多雲,多雲,局部多雲,局部多雲,晴,晴,27,25,67,34,30,65,25.61000000000001,25.160000000000025,72
2021-05-06 12:00:00,7.620424999999976,0.8472222222222221,0.960553237,1.0004600000000001,1.0004600000000001,0.4347495714579023,1.0004600000000001,晴,晴,局部多雲,局部多雲,晴,晴,29,28,61,32,29,67,30.29000000000002,28.550000000000008,60
2021-05-06 13:00:00,7.148313888888872,0.9027777777777778,0.8895341179999999,0.9353899999999999,0.9353899999999999,0.5430722322288237,0.9353899999999999,晴,晴,局部多雲,局部多雲,晴,晴,29,28,61,34,30,63,30.29000000000002,28.550000000000008,60
2021-05-06 14:00:00,6.079516666666676,0.7527777777777778,0.756299136,0.80525,0.80525,0.5543339781656804,0.80525,晴,晴,局部多雲,局部多雲,晴,晴,29,28,61,34,30,63,30.29000000000002,28.550000000000008,60
2021-05-06 15:00:00,4.42705485232071,0.5833333333333334,0.57113849,0.5695307198911478,0.62631,0.431593379612392,0.6263099999999999,晴,晴,晴時多雲,晴時多雲,晴,晴,31,28,64,34,30,63,30.49000000000001,28.670000000000016,60
2021-05-06 16:00:00,2.1195739910313973,0.3416666666666667,0.35019924,0.24202240235977746,0.4026299999999999,0.18657821829117333,0.40263,晴,晴,晴時多雲,晴時多雲,晴,晴,31,28,64,33,29,65,30.49000000000001,28.670000000000016,60
2021-05-06 17:00:00,0.5687756248244923,0.09166666666666667,0.124196867,0.09511529375782278,0.17488,0.07121591022068434,0.17488,晴,晴,晴時多雲,晴時多雲,晴,晴,31,28,64,31,28,70,30.49000000000001,28.670000000000016,60
2021-05-07 06:00:00,0.6830416666666771,0.052777777777777785,0.14659233900000002,0.10935226549843473,0.10935226549843473,0.08459165546331877,0.18531,晴,晴,局部多雲,局部多雲,晴,晴,26,23,84,23,23,87,23.86000000000001,23.350000000000023,81
2021-05-07 07:00:00,1.6587805555555608,0.19722222222222224,0.374602613,0.23396089000817685,0.23396089000817685,0.16222764689401614,0.41593,晴,晴,局部多雲,局部多雲,晴,晴,26,23,84,22,22,91,23.86000000000001,23.350000000000023,81
2021-05-07 08:00:00,4.153662774138435,0.5527777777777778,0.592542859,0.5782807568366842,0.5782807568366842,0.31524991179484624,0.6383099999999999,晴,晴,局部多雲,局部多雲,晴,晴,26,23,84,28,25,78,23.86000000000001,23.350000000000023,81
2021-05-07 09:00:00,6.165072222222246,0.6,0.772664482,0.8153899999999998,0.6972981190353629,0.49535261763482896,0.81539,晴,晴,局部多雲,局部多雲,晴,晴,30,27,71,33,30,63,28.379999999999995,26.900000000000034,66
2021-05-07 10:00:00,4.184723309111228,0.4805555555555555,0.899598328,0.93481,0.8553201794856328,0.545565842689872,0.93481,晴,晴,局部多雲,局部多雲,晴,晴,30,27,71,31,28,70,28.379999999999995,26.900000000000034,66
2021-05-07 11:00:00,5.219275,0.4388888888888889,0.96362496,1.00894,0.7052215471019264,0.444022380275348,1.00894,晴,晴,局部多雲,局部多雲,晴,晴,30,27,71,35,31,59,28.379999999999995,26.900000000000034,66
2021-05-07 12:00:00,6.582513888888887,0.7333333333333334,0.960025003,0.8467563119883125,0.8467563119883125,0.5375719462491176,1.00894,晴,晴,局部多雲,局部多雲,晴,晴,32,30,68,36,32,57,31.950000000000053,29.93000000000001,56
2021-05-07 13:00:00,6.957224999999956,0.9222222222222222,0.889076212,0.9023130543312612,0.9023130543312612,0.6326727695456437,0.94305,晴,晴,局部多雲,局部多雲,晴,晴,32,30,68,36,32,57,31.950000000000053,29.93000000000001,56
2021-05-07 14:00:00,5.7054230989136645,0.7111111111111111,0.756050001,0.7525298027600373,0.7525298027600373,0.6037459805722813,0.80303,晴,晴,局部多雲,局部多雲,晴,晴,32,30,68,37,32,55,31.950000000000053,29.93000000000001,56
2021-05-07 15:00:00,4.458141222439318,0.5861111111111109,0.5712239060000001,0.3626789414197777,0.5696158954428256,0.4695985878505845,0.63007,多雲,多雲,局部多雲,局部多雲,晴,晴,32,30,69,36,31,60,32.33000000000004,30.370000000000005,54
2021-05-07 16:00:00,2.662000000000019,0.35,0.350716443,0.15909073803121,0.24237984092123085,0.22568314626130656,0.40769,多雲,多雲,局部多雲,局部多雲,晴,晴,32,30,69,37,32,58,32.33000000000004,30.370000000000005,54
2021-05-07 17:00:00,0.6851444444444424,0.10277777777777776,0.125076999,0.05968621371156636,0.09578933663626077,0.07686950865147403,0.17708000000000002,多雲,多雲,局部多雲,局部多雲,晴,晴,32,30,69,35,30,63,32.33000000000004,30.370000000000005,54
2021-05-08 06:00:00,0.8768722222222215,0.1,0.147892518,0.07409733268293958,0.07409733268293958,0.07892271936944081,0.16868,多雲,多雲,多雲,多雲,晴,晴,26,24,85,24,24,88,25.030000000000033,24.320000000000054,85
2021-05-08 07:00:00,3.0819175027870647,0.3333333333333333,0.37553356,0.15758581030924032,0.15758581030924032,0.16964711684824985,0.39085,多雲,多雲,多雲,多雲,晴,晴,26,24,85,23,23,90,25.030000000000033,24.320000000000054,85
2021-05-08 08:00:00,4.998304799326412,0.5638888888888888,0.592989881,0.2761684594662968,0.2761684594662968,0.3630291524231614,0.62124,多雲,多雲,多雲,多雲,晴,晴,26,24,85,28,26,84,25.030000000000033,24.320000000000054,85
